"Title","CELEX number","ECLI identifier","Date of document","Author",
"Decision (EU) 2019/2231 of the European Central Bank of 10 December 2019 on the approval of the volume of coin issuance in 2020 (ECB/2019/40)","32019D0040","","2019-12-10","European Central Bank",
"Guideline (EU) 2019/2217 of the European Central Bank of 28 November 2019 amending Guideline (EU) 2016/2249 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2019/34)","32019O0034","","2019-11-28","European Central Bank",
"Decision (EU) 2019/2216 of the European Central Bank of 28 November 2019 amending Decision (EU) 2015/298 on the interim distribution of the income of the European Central Bank (ECB/2019/36)","32019D0036","","2019-11-28","European Central Bank",
"Decision (EU) 2019/2215 of the European Central Bank of 28 November 2019 amending Decision (EU) 2016/2247 on the annual accounts of the European Central Bank (ECB/2019/35)","32019D0035","","2019-11-28","European Central Bank",
"Decision (EU) 2019/2195 of the European Central Bank of 5 December 2019 amending Decision ECB/2010/14 on the authenticity and fitness checking and recirculation of euro banknotes (ECB/2019/39)","32019D0039","","2019-12-05","European Central Bank",
"Decision (EU) 2019/2194 of the European Central Bank of 29 November 2019 on the granting of signing powers (ECB/2019/33)","32019D0033","","2019-11-29","European Central Bank",
"Regulation (EU) 2019/2155 of the European Central Bank of 5 December 2019 amending Regulation (EU) No 1163/2014 on supervisory fees (ECB/2019/37)","32019R2155","","2019-12-05","European Central Bank",
"Decision (EU) 2019/2158 of the European Central Bank of 5 December 2019 on the methodology and procedures for the determination and collection of data regarding fee factors used to calculate annual supervisory fees (ECB/2019/38)","32019D0038","","2019-12-05","European Central Bank",
"Guideline (EU) 2019/1849 of the European Central Bank of 4 October 2019 amending Guideline ECB/2012/27 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2019/30)","32019O0030","","2019-10-04","European Central Bank",
"Decision (EU) 2019/1848 of the European Central Bank of 29 October 2019 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2019/32)","32019D0032","","2019-10-29","European Central Bank",
"Decision (EU) 2019/1743 of the European Central Bank of 15 October 2019 on the remuneration of holdings of excess reserves and of certain deposits (recast) (ECB/2019/31)","32019D0031","","2019-10-15","European Central Bank",
"Regulation (EU) 2019/1677 of the European Central Bank of 27 September 2019 amending Regulation (EU) No 1333/2014 concerning statistics on the money markets(ECB/2019/29)","32019R1677","","2019-09-27","European Central Bank",
