"","celex","date_doc","year","year.sem","form2","in_force2","date_end","full_text_words","title"
"1","31998D0001(01)",1998-06-09,1998,"1998.1","Decision","notinforce",1998-05-31,474,"Decision of the European Central Bank of 9 June 1998 on the method to be applied for determining the national central banks' percentage shares in the key for the capital of the European Central Bank (ECB/1998/1)"
"2","31998D0002(01)",1998-06-09,1998,"1998.1","Decision","notinforce",2003-12-31,810,"Decision of the European Central Bank of 9 June 1998 laying down the measures necessary for the paying-up of the capital of the European Central Bank (ECB/1998/2)"
"3","31998D0004(01)",1998-06-09,1998,"1998.1","Decision","inforce",9999-12-31,404,"Decision of the European Central Bank of 9 June 1998 on the adoption of the Conditions of Employment for Staff of the European Central Bank as amended on 31 March 1999 (ECB/1998/4)"
"4","31998D0006(01)",1998-07-07,1998,"1998.2","Decision","notinforce",2001-08-30,1227,"Decision of the European Central Bank of 7 July 1998 on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/1998/6)"
"5","31998D0012(01)",1998-11-03,1998,"1998.2","Decision","notinforce",2004-03-18,1250,"Decision of the European Central Bank of 3 November 1998 concerning public access to documentation and the archives of the European Central Bank (ECB/1998/12)"
"6","31998D0013",1998-12-01,1998,"1998.2","Decision","notinforce",2003-12-31,482,"Decision of the European Central Bank of 1 December 1998 on the national central banks' percentage shares in the key for the capital of the European Central Bank (ECB/1998/13)"
"7","31998D0014",1998-12-01,1998,"1998.2","Decision","notinforce",2003-12-31,514,"Decision of the European Central Bank of 1 December 1998 laying down the measures necessary for the paying-up of the capital of the European Central Bank by the non- participating national central banks (ECB/1998/14)"
"8","31998D0015(01)",1998-12-01,1998,"1998.2","Decision","notinforce",2003-11-15,1155,"Decision of the European Central Bank of 1 December 1998 concerning the performance by the European Central Bank of certain functions relating to medium-term financial assistance for Member States' balances of payments (ECB/1998/NP15)"
"9","31998O0010",1998-11-03,1998,"1998.2","Guideline","inforce",9999-12-31,958,"Guideline of the European Central Bank of 3 November 1998 on the implementation of Article 52 of the statute of the European System of Central Banks and of the European Central bank (ECB/1998/NP10)"
"10","31998O0017",1998-12-01,1998,"1998.2","Guideline","notinforce",2000-05-10,6237,"Guideline of the European Central Bank of 1 December 1998 on the statistical reporting requirements of the European Central Bank in the field of balance of payments and international investment position statistics (ECB/1998/17)"
"11","31998O0028",1998-12-22,1998,"1998.2","Guideline","notinforce",2001-10-31,1129,"Guideline of the European Central Bank of 22 December 1998 concerning the common rules and minimum standards to protect the confidentiality of the individual statistical information collected by the European Central Bank assisted by the national central banks (ECB/1998/NP28)"
"12","31998Q1215",1998-07-07,1998,"1998.2","Rules of procedure","notinforce",1999-04-21,3238,"Rules of Procedure of the European Central Bank"
"13","31998R2818",1998-12-01,1998,"1998.2","Regulation","notinforce",2004-03-09,2863,"Regulation (EC) No 2818/98 of the European Central Bank of 1 December 1998 on the application of minimum reserves (ECB/1998/15)"
"14","31998R2819",1998-12-01,1998,"1998.2","Regulation","notinforce",2002-12-31,8883,"Regulation (EC) No 2819/98 of the European Central Bank of 1 December 1998 concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/1998/16)"
"15","31998X1113",1998-09-01,1998,"1998.2","International agreement","notinforce",2006-03-30,3059,"Agreement of 1 September 1998 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of Economic and Monetary Union - Quota Convention for currencies participating in ERM II and the payment after payment procedure in the event of intervention at the margins - Ceilings on access to the very short-term financing facility referred to in articles 8, 10 and 11 of the Agreement of 1 September 1998"
"16","31998Y1231(01)",1998-12-31,1998,"1998.2","Opinion","notinforce",1998-12-31,511,"Opinion of the European Central Bank at the request of the Council of the European Union under Article 109l(4) of the Treaty establishing the European Community on a proposal for a Council Regulation (EC) on the conversion rates between the euro and the currencies of the Member States adopting the euro"
